,id,abbreviation,courseNumber,description,title,gradeAverage,letterAverage,openSeats,enrolledPercentage,enrolled,enrolledMax,units,__typename
26,Q291cnNlVHlwZToyMDc0MQ==,DES INV,201,"As today’s most pressing challenges cut across disciplinary boundaries, designers need to articulate new methods for connecting conceptual knowledge with technical skills and develop new ways of integrating ideas from various perspectives and world views. Each year students in this colloquium-style course explore a topic in design. Invited lecturers present a relevant project or challenge from their professional careers at a given intersection of critical contemporary issues expressed at a particular scale of design practice. Speakers share background material or readings in advance, allowing students to arrive with thoughtful questions and discussion points. Students compose written reflections throughout and following each speaker. ",Debates in Design,3.5203791469194314,A-,10,0.8,40,50,3.0,CourseType
27,Q291cnNlVHlwZToxNjUwNw==,LEGALST,131,"This course will introduce you to key concepts, issues, and legal frameworks around forced migration from legal, sociological, and normative perspectives. Using historical and contemporary examples, interdisciplinary scholarship, legal cases, media depictions of forced migration, and the voices of persons experiencing displacement, we will critically examine narratives about and responses to population displacement in international and domestic contexts.",Forced Migration,3.5718750000000004,A-,3,0.9,27,30,4.0,CourseType
28,Q291cnNlVHlwZToxNDI4Ng==,CIV ENG,110,"This course will familiarize students with the complex infrastructure used to meet human water demands; competing uses and demands; water and wastewater infrastructure; technologies to enable recovery of water, energy, and other resources from wastewater; supply planning; trends and forecasting; costs, pricing and financing; environmental justice; methods to assess sustainability; regulatory, policy and institutional challenges; and water's contribution to other sectors (e.g., energy, food, buildings). Innovation, both barriers and opportunities, will be highlighted.  California and the U.S. will be emphasized but global challenges will be discussed. Students will study, critique, and recommend improvements for a real-world system.",Water Systems of the Future,3.446264367816092,B+,0,1.0,97,97,3.0,CourseType
29,Q291cnNlVHlwZToyMjAzOQ==,ENGIN,281A,"This is an introduction to non-relativistic quantum physics. General quantum mechanics will be taught in the context of technological relevance, including the brief history and introduction to quantum mechanics, the Schrodinger equation and its solution in one and three dimensions, the formalism of quantum mechanics, and the perturbation theory. Connections to basic atomic, laser and materials physics will be highlighted.

The course will prepare students with the basics of quantum physics for entering the emerging field of quantum computation, quantum communications and other quantum information science and technologies.",Quantum Physics for Semiconductor Engineers,-1.0,,12,0.6,18,30,1.0,CourseType
30,Q291cnNlVHlwZTo2MzY3,PUB POL,190,Course examines current problems and issues in the field of public policy. Topics may vary from year to year and will be announced at the beginning of the semester. Open to students from other departments. ,Special Topics in Public Policy,3.5991694352159467,A-,0,1.0,322,320,1-4,CourseType
31,Q291cnNlVHlwZToyMTA0NQ==,MELC,24,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. ",Freshman Seminars,3.9727272727272727,A,0,1.0,15,15,1.0,CourseType
32,Q291cnNlVHlwZTo0ODcz,MEC ENG,246,"Covers the fundamental principles of energy conversion processes, followed by development of theoretical and computational tools that can be used to analyze energy conversion processes. Also introduces the use of modern computational methods to model energy conversion performance characteristics of devices and systems. Performance features, sources of inefficiencies, and optimal design strategies are explored for a variety of applications. ",Advanced Energy Conversion Principles,3.6644859813084114,A-,9,0.64,16,25,3.0,CourseType
33,Q291cnNlVHlwZTo4NzI2,MCELLBI,269T,Review of current literature and discussion of original research. ,Research Review in Neurobiology: Processing of Visual Information in the Mammalian Brain,-1.0,,15,0.0,0,15,2.0,CourseType
34,Q291cnNlVHlwZToyMDM0,ECON,131,"This course focuses on the role of the government in the economy from a theoretical and empirical perspective. The aim of the course is to provide an understanding of the reasons for government intervention in the economy, analyzing the merits of possible government policies, and the response of economic agents to the government's actions. The course covers the analysis of tax policy, social insurance programs, public goods, environmental protection, and the interaction between different levels of government. Special emphasis is set on current government policy issues such as social security reform, income tax reform, and budget deficits. ",Public Economics,3.126776220396327,B,8,0.9466666666666667,142,150,4.0,CourseType
35,Q291cnNlVHlwZTo3NTAz,ASTRON,299,,Advanced Study and Research,3.975324675324676,A,46,0.39473684210526316,30,76,2-12,CourseType
36,Q291cnNlVHlwZToxMjIyNg==,PSYCH,147,"The goal of this course is to introduce you to the excitement of studying development,
primarily in humans. The course covers different methodologies for studying
development, and how to interpret the resulting data. Students will become more wise
consumers of empirical data on development, whether those data appear in scholarly or
popular media. This course provides students with the analytical tools and productive
skepticism required to objectively evaluate findings in developmental science.",Methods in Cognitive Development,3.8970749542961616,A,1,0.9963768115942029,275,276,3.0,CourseType
37,Q291cnNlVHlwZTo0MzI4,LINGUIS,24,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen. ",Freshman Seminar,4.0,A,1,0.9444444444444444,17,18,1.0,CourseType
38,Q291cnNlVHlwZToxNDQ5,CIV ENG,268B,"Principles and practices of ""lean"" production are applied to project delivery in the AEC industry. Case studies illustrate the concepts. Project delivery is viewed holistically with a focus on work structuring and supply chain management. Topics include systems dynamics, uncertainty, and variation; materials management; logistics; e-commerce; building information modeling (BIM); and integrated product and process design. Students use process simulation to assess performance of different system configurations and develop a case study applying concepts on a real project. ",Lean Construction and Supply Chain Management,3.698876404494382,A-,6,0.8125,26,32,3.0,CourseType
39,Q291cnNlVHlwZTo0NzA3,MCELLBI,239Z,"How chromosomes are reorganized during melosis to accomplish the pairing, recombinatin, and segregation leading up to successful gamete production. ",Research Review in Cell and Developmental Biology: Chromosome Remodeling and Reorganization During Meiosis,-1.0,,20,0.0,0,20,2.0,CourseType
40,Q291cnNlVHlwZTo2NjI4,VIETNMS,1B,"An introduction to modern spoken and written Vietnamese, including intensive drill on basic phonology and grammar. By the end of the second semester the student should be able to function successfully in ordinary Vietnamese conversation and read simple texts of moderate difficulty. ",Introductory Vietnamese,3.7948012232415906,A-,5,0.7058823529411765,12,17,5.0,CourseType
41,Q291cnNlVHlwZTo0ODA5,MEC ENG,133,"An introduction to the theory of mechanical vibrations including topics of harmonic motion, resonance, transient and random excitation, applications of Fourier analysis and convolution methods. Multidegree of freedom discrete systems including principal mode, principal coordinates and Rayleigh's principle.",Mechanical Vibrations,3.2443324937027707,B+,5,0.8333333333333334,25,30,3.0,CourseType
42,Q291cnNlVHlwZTo3MTU2,THEATER,60,"A practical introduction to the terminology, theories, approaches, and techniques of technical theater and production. The course will cover theatrical terminology, stage equipment and architecture, production personnel and processes, and design departments, including scenery, properties, costumes, lighting, sound, and video. 
",Introduction to Technical Theater and Production,3.7479059515062456,A-,0,1.0,45,45,3.0,CourseType
43,Q291cnNlVHlwZToyMTIwOA==,EDUC,313E,"This course provides supervision and evaluation of student performance in the clinic-based practicum assignment, ""Psychological Assessment"", which is a requirement of EDUC 210.",Practicum in School Psychology: Psychological Assessment,-1.0,,7,0.125,1,8,1.0,CourseType
44,Q291cnNlVHlwZTo2MzQw,PSYCH,260B,"Extensive coverage of theoretical and research literature in social and personality psychology. Topics include history and systems, attitudes and attitude change, interpersonal processes, motivation, social interaction, small groups, and organizational behavior, personality measurement, and personality processes. Required course for all students in the social-personality graduate program.",Proseminar Course in Social and Personality Psychology,3.9749999999999996,A,18,0.4,12,30,3.0,CourseType
45,Q291cnNlVHlwZToyMjQ0,EDUC,274B,"An introduction to classical test theory and item response theory from a theoretical viewpoint. Application of these techniques to a practical measurement situation will be studied. Topics such as test bias, computerized and polytomous response modes will be discussed. ",Measurement in Education and the Social Sciences II,4.0,A,4,0.6666666666666666,8,12,4.0,CourseType
46,Q291cnNlVHlwZToyMjE3MA==,DATA,C4AC,"This course engages students with fundamental questions of justice in relation to data and computing in American society. Data collection, visualization, and analysis have been entangled in the struggle for racial and social justice because they can make injustice visible, imaginable, and thus actionable. Data has also been used to oppress minoritized communities and institutionalize, rationalize, and naturalize systems of racial violence. The course examines key sites of justice involving data (such as citizenship, policing, prisons, environment, and health). Along with critical social science tools, students gain introductory experience and do collaborative and creative projects with data science using real-world data. ",Data and Justice,-1.0,,12,0.76,38,50,4.0,CourseType
47,Q291cnNlVHlwZToxNDIyMA==,DES INV,198,Directed group study on various topics in design innovation.,Directed Group Study for Undergraduates,,,75,0.0,0,75,1-4,CourseType
48,Q291cnNlVHlwZToyOTY0,ESPM,279,"A survey of pastoral animal management and production systems, as they influence and are influenced by the rangeland environment. Review of the evolution of animal management practices; contemporary management systems in California,the West, and worldwide; and production systems with both traditional and nontraditional goals. Examination of agroforestry and nomadic and transhumant grazing systems, sheep and cattle production, game ranching, and organic meat production will be included.",Seminar on Pastoralism,3.9583333333333335,A,4,0.6666666666666666,8,12,3.0,CourseType
49,Q291cnNlVHlwZTozMzg0,GSPDP,375,"This seminar will introduce graduate students to the theory and practice of teaching and learning in higher education and will prepare new GSIs for the teaching they will do at Berkeley and for the teaching they may do in future careers. The course will provide an introduction to the research on how adults learn and will enable GSIs to select teaching methods that are appropriate to specific courses and educational contexts. The course brings together a cross-disciplinary group of graduate students who will discuss selected texts from the current literature on teaching and learning, experiment with and assess various teaching methods and their impact on learning, and develop professional skills that can be used throughout their careers. ",Teaching and Learning in Higher Education,-1.0,,0,1.0,40,40,2.0,CourseType
50,Q291cnNlVHlwZTo1MjE=,ART,301,"MFA course utilizing aspects of pedagogical and andragogical teaching, the interactive lecture, collaborative learning, simulations, and brainstorming-freewriting, this semester-long seminar will focus on these various intergrative teaching approaches, to facilitate communication in the diverse and wide-ranging arena which is fine arts today. Discussion of course aims, instructional methods, grading standards, and special problems in the teaching of art practice.",The Teaching of Art: Practice,-1.0,,8,0.3333333333333333,4,12,1.0,CourseType
51,Q291cnNlVHlwZToxMDA1,PHDBA,C270,"This seminar features current research of faculty, from UC Berkeley and elsewhere, and of advanced doctoral students who are investigating the efficacy of economic and non-economic forms of organization. An interdisciplinary perspective--combining aspects of law, economics, and organization--is maintained. Markets, hierarchies, hybrids, bureaus, and the supporting institutions of law and politics all come under scrutiny. The aspiration is to progressively build toward a new science of organization. ",Workshop in Institutional Analysis,-1.0,,13,0.5357142857142857,15,28,2.0,CourseType
52,Q291cnNlVHlwZToyMTkwNQ==,PB HLTH,W267,"This course will familiarize students with the principles, methods, and techniques necessary to apply Geographic Information Systems (GIS) in diverse public health practice settings. Case studies will be presented to introduce the application of GIS technologies for rendering disease surveillance maps, developing effective spatial data visualization, creating compelling and credible spatial risk maps, and acquiring and processing positioning information for health applications.",Applied GIS for Public Health Practice,-1.0,,16,0.5428571428571428,19,35,3.0,CourseType
53,Q291cnNlVHlwZToxMDEy,PHDBA,289S,Advanced study in the field of Real Estate. Topics will vary from year to year and will be announced at the beginning of each semester. ,Research Seminar in Real Estate,-1.0,,8,0.7142857142857143,20,28,2-4,CourseType
54,Q291cnNlVHlwZToxNDYyNw==,MAT SCI,45,"Application of basic principles of physics and chemistry to the engineering properties of materials. Emphasis on establishing structure, property, processing, and performance interrelationships in metals, ceramics, and polymers. While core concepts are fully covered each semester, examples and contextualization in Fall editions focuses on metals, ceramics, and functional/electronic properties and in Spring editions on polymers and soft-materials.",Properties of Materials,3.1258125000000003,B,53,0.66875,107,160,3.0,CourseType
55,Q291cnNlVHlwZToxNDU3Nw==,THEATER,201B,"Part two of a two-semester core sequence on performance theory, required of first-year Performance Studies PhD students. The course examines key issues and key words in performance studies, from the field’s emergence in the 1970s and 1980s to ongoing contemporary debates. Precise topics will vary by instructor, but may include theoretical investigations of space; liveness, media, and presence; affect; economies; activism and politics; and more. Offered spring semester.
",Performance Theory: Enduring Debates,3.88,A,9,0.4,6,15,4.0,CourseType
56,Q291cnNlVHlwZTo1OTkz,PLANTBI,20,"This course will include discussions on the academic path (courses) needed for the Genetics and Plant Biology major; an introduction to resources and facilities for studies of the plant sciences at Berkeley, such as the University Herbarium and the Botanical Garden; an exploration of plant science related careers, including presentations from guest speakers who work in organic farming,  government, and Cooperative Extension; talks by faculty about their current research, and information about how to do research in a lab.",Introduction to the Plant Sciences at Berkeley,4.0,A,28,0.3,12,40,1.0,CourseType
57,Q291cnNlVHlwZToxNzcy,DEMOG,220,"This course offers a critical, graduate-level introduction to the social science of reproduction, drawing especially on models and theories from demography, sociology, and anthropology. Among the topics are parity specific control and the calculus of conscious choice, below-replacement fertility, and the political economy of stratified reproduction. ",Human Fertility,4.0,A,9,0.4,6,15,4.0,CourseType
58,Q291cnNlVHlwZToyMDQz,ECON,152,"This course focuses on theoretical and empirical analysis of wage and employment determination in the labor market. In addition, the role of public policy in affecting wage and employment outcomes in the U.S. labor market is examined. Topics include labor supply, labor demand, minimum wages, the economics of education and training, discrimination and the impact of antidiscrimination programs, changes in wage inequality over time, immigration, unions, unemployment, and poverty. ",Wage Theory and Policy,3.2607594936708866,B+,0,1.0,150,150,4.0,CourseType
59,Q291cnNlVHlwZTo0MTEx,ITALIAN,248,Investigation of topics in Italian cultural history from a multidisciplinary perspective. ,Special Topics in Interdisciplinary Italian Studies,3.9684210526315793,A,9,0.4,6,15,2-4,CourseType
60,Q291cnNlVHlwZTo4NTEy,LD ARCH,237,"A review of the techniques used in environmental planning, and evaluation of alternate means of implementation in varying environmental and political circumstances. The class will examine and critique a number of well-known environmental planning programs and plans. Lectures and discussion will address recurrent planning problems, such as the limitations of available data, legal and political constraints on plans, conflicts among specialists. ",The Process of Environmental Planning,3.822115384615385,A-,0,1.0,11,10,3.0,CourseType
61,Q291cnNlVHlwZToxNTI5,CLASSIC,602,"Individual study in consultation with the graduate adviser or personal adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree. ",Individual Study for Doctoral Candidates,-1.0,,0,1.0,1,1,1-12,CourseType
62,Q291cnNlVHlwZTozNDE1,GWS,139,"This course uses gender as a lens to examine the nature, meaning, and organization of work. Students learn varied conceptual approaches with which to probe such issues as gender and race divisions of labor, the economic significance of caring and other forms of unpaid labor, earnings disparities between men and women, race and class differences in women's work, transnational labor immigration, and worker resistance and organizing. ",Why Work? Gender and Labor Under Capitalism,3.483706070287541,B+,26,0.6533333333333333,49,75,4.0,CourseType
63,Q291cnNlVHlwZTo4MDgz,ETH STD,198BC,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.
",Berkeley Connect,-1.0,,13,0.35,7,20,1.0,CourseType
64,Q291cnNlVHlwZTo1MDQ=,ART,172,"Computer Graphics constitute a default method of image synthesis, from fine art to game design, cinema, and advertising. This production-intensive studio course introduces students to professional CG tools (Blender, Python) as well as an overview of CG aesthetics. Weekly project assignments based on tutorials cover modeling, texturing, lighting, animation, rendering, physics simulations and data-driven image synthesis. Final projects focus on portfolio work with scenes and characters to be exported into VR, AR, and game design. Current laptop or desktop with good graphics performance required.

Priority enrollment for Art Practice majors and intended Art Practice majors.",Advanced Digital Media: Computer Graphics Studio ,3.716167664670659,A-,2,0.96,48,50,4.0,CourseType
65,Q291cnNlVHlwZToyMTU1MQ==,DATASCI,261,This course teaches the underlying principles required to develop scalable machine learning pipelines for structured and unstructured data at the petabyte scale. Students will gain hands-on experience in Apache Hadoop and Apache Spark.,Machine Learning at Scale,3.8816733067729086,A,1,0.9852941176470589,67,68,3.0,CourseType
66,Q291cnNlVHlwZToxMTQ1,CHEM,1A,"Stoichiometry of chemical reactions, quantum mechanical description of atoms, the elements and periodic table, chemical bonding, real and ideal gases, thermochemistry, introduction to thermodynamics and equilibrium, acid-base and solubility equilibria, introduction to oxidation-reduction reactions, introduction to chemical kinetics. ",General Chemistry,2.9442928410011517,B,10,0.987389659520807,783,793,3.0,CourseType
67,Q291cnNlVHlwZTo5MDkz,PSYCH,135,"Although progress has been made in developing and disseminating evidence-based treatments for most forms of mental illness, there are still huge gaps in our knowledge base.  Coverage of serious mental illness with adequate and disseminable intervention strategies is all too limited. Hence, there is a great need for the next generation of clinical scientists to contribute to the mission of treatment development for mental illness. In this course we will learn about, and critique, treatment development models. We will review the steps in treatment development spanning from the study of mechanisms on to proof of concept and to establishing the feasibility of novel treatment ideas. ","Treating Mental Illness: Development, Evaluation, and Dissemination",3.715686274509804,A-,1,0.9963898916967509,276,277,3.0,CourseType
68,Q291cnNlVHlwZToyMDUwMw==,INFO,253B,"This course is a survey of web technologies that are used to build back-end systems that enable rich web applications. Utilizing technologies such as Python, Flask, Docker, RDBMS/NoSQL databases, and Spark, this class aims to cover the foundational concepts that drive the web today. This class focuses on building APIs using micro-services that power everything from content management systems to data engineering pipelines that provide insights by processing large amounts of data. The goal of this course is to provide an overview of the technical issues surrounding back-end systems today, and to provide a solid and comprehensive perspective of the web's constantly evolving landscape.",Back-End Web Architecture,3.9730538922155696,A,17,0.5641025641025641,22,39,3.0,CourseType
69,Q291cnNlVHlwZTo0MTU5,JOURN,230,"Reporting and writing of business, financial, and consumer affairs. ",Business Reporting,3.6533333333333333,A-,13,0.4583333333333333,11,24,3-4,CourseType
